"ID","Player","Team","Position","Prim Pos","RkOv","Status","Age","Salary","Contract","Score","Ros","+/-","GP","Pt-D","G","A","2G+A","PIM","SOG","STP","Hit","Blk","TK/GV","Cor"
"*03v70*","Alex DeBrincat","DET","F","F","50","nbracken","28","5,500,000","BID","79.49","98%","-1%","77","0","39","42","120","17","271","22","35","37","0.50","98"
"*04mv2*","Cole Caufield","MTL","F","F","51","sweinste","25","9,000,000","BID","79.32","99%","-1%","76","0","49","36","134","14","236","27","48","21","0.41","175"
"*02noj*","Tom Wilson","WSH","F","F","52","mertin","32","6,990,000","BID","79.31","93%","-1%","68","0","29","29","87","117","144","12","172","49","0.20","136"
"*03924*","Jack Eichel","VGK","F","F","53","Gavitron","29","10,850,000","BID","78.95","99%","-1%","69","0","25","57","107","16","242","27","35","40","0.23","146"
"*039cg*","Sam Bennett","FLA","F","F","54","nbracken","29","6,600,000","BID","78.75","86%","-1%","74","0","26","32","84","82","194","14","113","31","0.33","164"
"*02azb*","Mark Scheifele","WPG","F","F","56","SPG","33","6,100,000","BID","78.69","99%","-1%","76","0","34","60","128","37","163","19","32","43","0.25","35"
"*05ltj*","Brock Faber","MIN","D","D","58","HeatDady","23","6,500,000","BID","77.79","93%","-1%","77","51","15","36","66","37","170","13","31","145","0.41","-17"
"*02uws*","Mathew Barzal","NYI","F","F","60","nebsnave","28","2,600,000","BID","77.38","91%","-1%","77","0","19","51","89","61","172","19","29","47","0.46","136"
"*03d09*","Alex Tuch","BUF","F","F","61","SPG","29","2,900,000","BID","76.99","97%","-1%","74","0","29","32","90","53","182","14","79","85","0.63","8"
"*03mn8*","Clayton Keller","UTA","F","F","62","SPG","27","5,800,000","BID","76.61","98%","-1%","76","0","25","53","103","30","215","23","8","30","0.26","300"
"*04znw*","Brandt Clarke","LAK","D","D","63","nbracken","23","2,000,000","BID","76.47","88%","-2%","76","39","8","31","47","61","151","13","29","159","0.28","256"
"*0457f*","Nico Hischier","NJD","F","F","64","mcianfra","27","6,400,000","BID","76.27","96%","-1%","77","0","26","36","88","29","199","22","57","61","0.39","198"
"*04f2d*","Drake Batherson","OTT","F","F","65","nbracken","27","4,000,000","BID","75.95","96%","-1%","74","0","31","35","97","27","160","25","116","20","0.36","218"
"*03jvu*","Mitch Marner","VGK","F","F","66","nebsnave","28","11,400,000","BID","75.69","97%","-1%","76","0","23","54","100","22","152","24","24","45","0.36","193"
"*05tqt*","Wyatt Johnston","DAL","F","F","67","TommyG10","22","9,100,000","BID","75.56","99%","-1%","77","0","41","39","121","28","193","39","52","54","0.36","-182"
"*031v6*","MacKenzie Weegar","UTA","D","D","68","Wags8210","32","9,000,000","BID","75.53","81%","-2%","73","25","4","21","29","78","146","7","156","164","0.25","74"
"*03rf5*","Rasmus Andersson","VGK","D","D","70","btsay45","29","3,200,000","BID","75.42","91%","-1%","76","43","16","27","59","69","164","14","33","140","0.26","-15"
"*04kyn*","Sean Walker","CAR","D","D","71","BHHC","31","1,000,000","FA","75.37","41%","0%","77","25","7","18","32","57","171","3","133","121","0.33","612"
"*03c0c*","Josh Manson","COL","D","D","72","BHHC","34","1,000,000","BID","75.3","52%","0%","75","31","5","26","36","89","117","0","168","97","0.32","301"
"*04qy5*","Kirill Marchenko","CBJ","F","F","73","TommyG10","25","8,300,000","BID","74.91","98%","-1%","71","0","26","38","90","32","202","23","53","38","0.47","89"
"*00qru*","Steven Stamkos","NSH","F","F","75","Gavitron","36","3,500,000","BID","74.84","88%","-2%","76","0","38","22","98","54","184","23","85","32","0.34","16"
"*059e0*","Jake Sanderson","OTT","D","D","77","nbracken","23","10,000,000","BID","74.59","97%","-1%","64","48","11","37","59","8","138","19","28","121","0.40","213"
"*02unz*","Nick Schmaltz","UTA","F","F","78","nbracken","30","1,500,000","BID","74.5","90%","-2%","76","0","28","40","96","26","185","18","21","47","0.49","244"
"*042vx*","Filip Hronek","VAN","D","D","79","Wags8210","28","2,700,000","BID","74.22","81%","-1%","76","46","8","38","54","24","119","20","123","97","0.32","-10"
"*04kyh*","Brady Tkachuk","OTT","F","F","80","nebsnave","26","13,600,000","BID","74.14","98%","-1%","57","0","22","32","76","64","216","19","150","18","0.36","238"
"*02nok*","Tomas Hertl","VGK","F","F","81","mcianfra","32","1,800,000","BID","73.99","91%","-2%","77","0","24","31","79","39","192","23","107","40","0.33","255"
"*03bfj*","Artemi Panarin","LAK","F","F","82","TommyG10","34","7,000,000","BID","73.75","97%","-1%","72","0","27","53","107","20","214","23","11","15","0.24","246"
"*05rjd*","Cutter Gauthier","ANA","F","F","83","Gavitron","22","2,900,000","BID","73.45","96%","-1%","73","0","38","27","103","26","271","18","59","20","0.27","207"
"*04qve*","K'Andre Miller","CAR","D","D","84","SPG","26","1,000,000","BID","73.4","60%","-1%","69","35","6","29","41","54","114","6","96","75","0.56","594"
"*04o0h*","Dylan Guenther","UTA","F","F","86","Wags8210","22","5,900,000","BID","73.14","98%","-1%","74","0","38","29","105","28","229","21","60","27","0.26","177"
"*05r1c*","Juraj Slafkovsky","MTL","F","F","87","mcianfra","22","4,200,000","BID","72.8","96%","-1%","77","0","29","38","96","52","163","26","98","77","0.14","-23"
"*01zql*","Brock Nelson","COL","F","F","88","Wags8210","34","1,200,000","BID","72.78","86%","-1%","75","0","33","29","95","32","178","17","37","55","0.34","294"
"*0579x*","Adam Fantilli","CBJ","F","F","89","Lsleeves","21","5,200,000","BID","72.75","93%","-1%","77","0","22","33","77","34","202","12","130","48","0.27","98"
"*00454*","Sidney Crosby","PIT","F","F","91","Gavitron","38","6,000,000","BID","72.53","98%","-1%","66","0","29","43","101","42","154","23","58","29","0.34","13"
"*04ymt*","Lucas Raymond","DET","F","F","92","SPG","24","5,800,000","BID","72.5","98%","-1%","75","0","25","48","98","20","161","26","41","28","0.42","81"
"*03kra*","Kyle Connor","WPG","F","F","93","mertin","29","9,300,000","BID","72.47","99%","-1%","76","0","36","51","123","16","247","20","31","16","0.32","24"
"*05y3a*","Leo Carlsson","ANA","F","F","94","Gavitron","21","2,100,000","BID","71.87","94%","-1%","65","0","27","37","91","33","171","20","12","26","0.43","244"
"*06hcw*","Beckett Sennecke","ANA","F","F","97","btsay45","20","0","MNR","71.76","80%","0%","77","0","23","35","81","54","183","13","93","24","0.29","87"
"*04zo0*","Pavel Dorofeyev","VGK","F","F","98","nebsnave","25","2,800,000","BID","71.51","94%","-1%","77","0","35","26","96","24","217","29","27","26","0.25","253"
"*042ye*","Jesper Bratt","NJD","F","F","99","TommyG10","27","8,300,000","BID","71.37","95%","0%","77","0","20","47","87","12","166","22","69","24","0.30","334"
"*04bdb*","Jack Hughes","NJD","F","F","100","sweinste","24","11,500,000","BID","71.33","99%","-1%","56","0","25","46","96","6","207","23","3","28","0.32","276"
"*01fx3*","Roman Josi","NSH","D","D","101","SPG","35","3,400,000","BID","71.32","95%","-1%","64","51","12","39","63","30","172","22","22","99","0.30","-29"
"*04ld3*","Noah Dobson","MTL","D","D","102","TommyG10","26","5,800,000","BID","71.13","96%","-1%","77","46","12","34","58","34","152","8","52","183","0.36","-121"
"*03mn9*","Mikko Rantanen","DAL","F","F","103","mertin","29","12,000,000","BID","71.13","98%","-1%","59","0","21","52","94","89","131","33","42","29","0.27","-143"
"*04a9v*","Morgan Geekie","BOS","F","F","104","mcianfra","27","2,800,000","BID","70.99","94%","-1%","77","0","34","29","97","22","172","24","109","30","0.27","7"
"*01f6d*","Ryan O'Reilly","NSH","F","F","107","SPG","35","1,000,000","BID","70.37","81%","-2%","75","0","25","44","94","20","144","19","13","59","1.00","97"
"*02dq3*","Jacob Trouba","ANA","D","D","108","nbracken","32","2,000,000","BID","70.35","67%","-1%","76","34","10","24","44","31","159","2","133","137","0.26","91"
"*03yh8*","Owen Tippett","PHI","F","F","110","Gavitron","27","4,900,000","BID","70.03","73%","+1%","77","0","28","22","78","30","214","10","159","49","0.31","-26"
"*03duf*","Dylan Larkin","DET","F","F","111","Wags8210","29","6,400,000","BID","69.92","97%","-1%","70","0","30","29","89","48","214","21","42","33","0.29","49"
"*03as8*","Nikolaj Ehlers","CAR","F","F","112","mertin","30","2,200,000","BID","69.82","89%","-1%","77","0","24","41","89","12","191","27","20","23","0.26","428"
"*03ra8*","Timo Meier","NJD","F","F","114","Gavitron","29","5,500,000","BID","69.54","82%","-1%","72","0","24","18","66","22","256","10","126","51","0.32","200"
"*02azf*","Dougie Hamilton","NJD","D","D","115","nebsnave","32","2,100,000","BID","69.36","87%","-1%","72","35","12","23","47","46","191","13","86","76","0.12","205"
"*02b76*","Vincent Trocheck","NYR","F","F","116","BHHC","32","6,800,000","BID","69.32","89%","-2%","63","0","15","35","65","56","105","17","183","45","0.32","10"
"*05lu8*","Alexander Nikishin","CAR","D","D","117","BHHC","24","0","MNR","69.29","85%","-1%","76","30","11","19","41","31","119","11","125","85","0.30","384"
"*038vb*","Travis Konecny","PHI","F","F","118","btsay45","29","9,600,000","BID","69.27","95%","-1%","73","0","27","39","93","59","164","16","99","38","0.18","-72"
"*042w4*","Adam Fox","NYR","D","D","119","CHKY","28","11,300,000","BID","68.81","97%","-1%","51","48","7","41","55","18","82","21","23","72","0.57","202"
"*024lv*","Mattias Ekholm","EDM","D","D","120","Gavitron","35","1,900,000","BID","68.55","70%","-2%","77","39","6","33","45","30","128","3","65","113","0.25","343"
"*01zvf*","Mark Stone","VGK","F","F","122","nebsnave","33","1,300,000","BID","68.34","94%","-1%","55","0","24","43","91","9","117","25","26","41","0.44","201"
"*03167*","Bo Horvat","NYI","F","F","124","TommyG10","31","4,000,000","BID","67.7","94%","-1%","64","0","30","25","85","40","217","17","51","38","0.26","78"
"*04ln4*","Kiefer Sherwood","SJS","F","F","125","Gavitron","31","5,200,000","BID","67.64","68%","-1%","65","0","21","10","52","48","159","12","304","29","0.36","87"
"*031p3*","Carter Verhaeghe","FLA","F","F","126","Wags8210","30","2,900,000","BID","67.59","80%","-1%","75","0","24","30","78","32","183","11","66","21","0.41","229"
"*04y8g*","Trevor Zegras","PHI","F","F","127","sweinste","25","2,200,000","BID","67.32","89%","0%","77","0","23","39","85","56","160","20","41","24","0.32","17"
"*04lo0*","Quinton Byfield","LAK","F","F","129","Lsleeves","23","8,900,000","BID","67.13","76%","+1%","73","0","20","24","64","44","163","12","60","40","0.49","170"
"*004cq*","Alex Ovechkin","WSH","F","F","130","Gavitron","40","4,400,000","BID","66.83","93%","-1%","78","0","31","30","92","26","224","18","126","15","0.16","60"
"*02nq3*","Shayne Gostisbehere","CAR","D","D","131","SPG","32","3,700,000","BID","66.58","96%","-1%","51","47","13","34","60","20","111","17","24","57","0.37","338"
"*01c12*","John Tavares","TOR","F","F","132","SPG","35","3,800,000","BID","66.55","96%","-1%","77","0","30","38","98","28","184","18","68","21","0.38","-108"
