"ID","Player","Team","Position","Prim Pos","RkOv","Status","Age","Salary","Contract","Score","Ros","+/-","GP","Pt-D","G","A","2G+A","PIM","SOG","STP","Hit","Blk","TK/GV","Cor"
"*05k6z*","Matej Chalupa","CHI","F","F","2031","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06cdv*","Gennadi Chaly","(N/A)","D","D","2032","FA","20","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*03sro*","Felix Chamberland","(N/A)","F","F","2033","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*02ycn*","Joel Champagne","(N/A)","F","F","2034","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06xxe*","Cole Chandler","BOS","F","F","2035","FA","18","1,000,000","FA","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*0404v*","Adam Chapie","(N/A)","F","F","2036","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*03wl9*","Josh Chapman","(N/A)","D","D","2037","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*01f08*","Chris Chappell","(N/A)","F","F","2038","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*01zqm*","Michael Chaput","PIT","F","F","2039","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*0058z*","Stefan Chaput","(N/A)","F","F","2040","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06xwi*","Jordan Charron","PIT","F","F","2043","FA","18","1,000,000","FA","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*03ed7*","Rourke Chartier","(N/A)","F","F","2044","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*031up*","Greg Chase","(N/A)","F","F","2045","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*03dhn*","Connor Chatham","(N/A)","F","F","2046","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*062sg*","Oliver Chau","(N/A)","F","F","2047","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*04y7z*","Daniil Chayka","(N/A)","D","D","2048","FA","23","1,000,000","FA","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*04309*","Nikolai Chebykin","TOR","F","F","2050","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*037a9*","Trevor Cheek","(N/A)","F","F","2052","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*04f8v*","Ivan Chekhovich","(N/A)","F","F","2053","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*03lsg*","Jake Chelios","(N/A)","D","D","2054","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05yke*","Zimeng Chen","(N/A)","D","D","2055","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*03wlx*","Andrew Cherniwchan","(N/A)","F","F","2057","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05rju*","Ryan Chesley","WSH","D","D","2058","HeatDady","22","0","MNR","0","5%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06c6x*","Chase Cheslock","NJD","D","D","2059","FA","21","1,000,000","FA","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06h6v*","Ty Cheveldayoff","BUF","F","F","2061","FA","22","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06y04*","Gabe Chiarot","VAN","F","F","2063","FA","19","1,000,000","FA","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*01f6j*","Alex Chiasson","(N/A)","F","F","2064","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05u3f*","Jake Chiasson","MTL","F","F","2065","FA","22","1,000,000","FA","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*050yb*","Andrei Chibisov","(N/A)","F","F","2066","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ny3*","Igor Chibrikov","(N/A)","D","D","2067","FA","24","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*003v5*","Kyle Chipchura","(N/A)","F","F","2069","FA","40","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*051ud*","Semyon Chistyakov","NSH","D","D","2070","FA","24","1,000,000","FA","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*0430q*","Brayden Chizen","MIN","D","D","2071","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05o6s*","Yegor Chizhikov","(N/A)","F","F","2072","FA","24","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*03rf1*","Filip Chlapik","OTT","F","F","2073","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05luk*","Tomas Chlubna","(N/A)","F","F","2074","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*04ap7*","Alexander Chmelevski","SJS","F","F","2075","FA","26","1,000,000","FA","0","2%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ug9*","Artur Cholach","VGK","D","D","2076","FA","22","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*00qkr*","Taylor Chorney","(N/A)","D","D","2077","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06iai*","Brett Chorske","FLA","F","F","2078","FA","24","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*01uo6*","Joel Chouinard","(N/A)","D","D","2079","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05nfx*","Matt Choupani","(N/A)","F","F","2080","FA","24","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06tb3*","Jan Chovan","LAK","F","F","2081","FA","19","1,000,000","FA","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*070fu*","Tomas Chrenko","(N/A)","F","F","2082","FA","18","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*04zjd*","Blake Christensen","(N/A)","F","F","2083","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*00452*","Erik Christensen","(N/A)","F","F","2084","FA","42","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*0430u*","Nikolaj Krag Christensen","STL","F","F","2085","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*03nqf*","Brian Christie","(N/A)","F","F","2086","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*03tzs*","Braden Christoffer","(N/A)","F","F","2087","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05uxr*","Alex Christopoulos","(N/A)","F","F","2088","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05uxq*","Paul Christopoulos","(N/A)","D","D","2089","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06cf0*","Jakub Chromiak","CBJ","D","D","2090","FA","20","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*059e6*","Martin Chromiak","LAK","F","F","2091","FA","23","1,000,000","FA","0","3%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*003hp*","Kris Chucko","(N/A)","F","F","2094","FA","40","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*01ztt*","Maxim Chudinov","BOS","D","D","2095","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*03rje*","Ivan Chukarov","BUF","D","D","2096","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*02cym*","Sergei Chvanov","(N/A)","F","F","2097","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ppo*","Kyle Chyzowski","TBL","F","F","2098","FA","21","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*04rfe*","Ryan Chyzowski","VGK","F","F","2099","FA","25","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*03c9q*","Daniel Ciampini","(N/A)","F","F","2100","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*02oz3*","Luca Ciampini","(N/A)","F","F","2101","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*072ax*","Tomas Cibulka","EDM","D","D","2102","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05yjv*","Oskars Cibulskis","(N/A)","D","D","2103","FA","37","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*051w8*","Eric Ciccolini","(N/A)","F","F","2104","FA","25","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05xw7*","Nick Cicek","CGY","D","D","2105","FA","25","1,000,000","FA","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*03kut*","Michael Cichy","(N/A)","F","F","2106","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*062kb*","Alex Ciernik","PHI","F","F","2107","FA","21","1,000,000","FA","0","3%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06spt*","Vojtech Cihar","LAK","F","F","2108","Gavitron","19","0","MNR","0","7%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ug4*","Lucas Ciona","CGY","F","F","2109","FA","23","1,000,000","FA","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05r2s*","Michael Citara","(N/A)","F","F","2110","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*0055h*","Matt Clackson","(N/A)","F","F","2111","FA","40","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*02g01*","Fredrik Claesson","(N/A)","D","D","2112","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*039p5*","Kale Clague","WPG","D","D","2113","FA","27","1,000,000","FA","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*031q8*","Christopher Clapperton","OTT","F","F","2115","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*048t8*","Emerson Clark","(N/A)","F","F","2118","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*01zqk*","Jason Clark","(N/A)","F","F","2119","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06c1q*","Jimmy Clark","MIN","F","F","2120","FA","21","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*02frd*","Kevin Clark","(N/A)","F","F","2121","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*04qy4*","Kody Clark","(N/A)","F","F","2122","FA","26","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*01f6i*","Mat Clark","(N/A)","D","D","2123","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06cky*","Warren Clark","TBL","D","D","2124","FA","21","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*03gl8*","Blake Clarke","(N/A)","F","F","2125","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*042xp*","Cameron Clarke","BOS","D","D","2126","FA","29","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*051tr*","Graeme Clarke","OTT","F","F","2127","FA","24","1,000,000","FA","0","2%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*02o7t*","Michael Clarke","COL","F","F","2128","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*038mm*","Doug Clarkson","PHI","F","F","2129","FA","37","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05rkr*","Cole Clayton","VAN","D","D","2130","FA","26","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*072yb*","Hank Cleaves","(N/A)","F","F","2131","FA","22","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*04a5y*","Matias Cleland","TOR","D","D","2132","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*02b3v*","Adam Clendening","(N/A)","D","D","2133","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06buo*","Brady Cleveland","DET","D","D","2135","FA","21","1,000,000","FA","0","2%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*003st*","Marc-Andre Cliche","TOR","F","F","2136","FA","39","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*01f6f*","Kyle Clifford","(N/A)","F","F","2137","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*0408i*","Tim Clifton","(N/A)","F","F","2138","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*00582*","Grant Clitsome","(N/A)","D","D","2139","FA","40","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*03y52*","Ryan Cloonan","(N/A)","F","F","2140","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06uk6*","Jacob Cloutier","WPG","F","F","2142","FA","19","1,000,000","FA","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06po1*","Justin Cloutier","PIT","F","F","2143","FA","20","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*00467*","Ryane Clowe","(N/A)","F","F","2145","FA","43","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*004l9*","Rich Clune","TOR","F","F","2146","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*042yd*","Nathan Clurman","MTL","D","D","2147","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*003u1*","Cal Clutterbuck","(N/A)","F","F","2148","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*0042k*","Braydon Coburn","(N/A)","D","D","2149","FA","41","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*038mq*","Greg Coburn","UTA","D","D","2150","FA","37","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*04x9y*","Garret Cockerill","CBJ","D","D","2151","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*04f8k*","Logan Cockerill","(N/A)","F","F","2152","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05xda*","Davis Codd","(N/A)","F","F","2153","FA","22","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*048w5*","Mathieu Coderre-Gagnon","MTL","F","F","2154","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05k8e*","Brandon Coe","(N/A)","F","F","2155","FA","24","1,000,000","FA","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*01mlq*","Willie Coetzee","(N/A)","F","F","2156","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*01nln*","Colby Cohen","(N/A)","D","D","2157","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*01szh*","Zach Cohen","(N/A)","F","F","2158","FA","39","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*016g4*","Joe Colborne","(N/A)","F","F","2159","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*004mh*","Brad Cole","(N/A)","D","D","2160","FA","39","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*048w0*","Luke Coleman","DET","F","F","2161","FA","27","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*02jxx*","Sebastian Collberg","(N/A)","F","F","2162","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*02odp*","Brendan Collier","CAR","F","F","2163","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*004od*","Chris Collins","PIT","F","F","2164","FA","41","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*003ri*","Dan Collins","(N/A)","F","F","2165","FA","39","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*061tt*","Nolan Collins","PIT","D","D","2166","FA","21","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*03eau*","Ryan Collins","(N/A)","D","D","2167","FA","29","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*004nx*","Sean Collins","(N/A)","D","D","2168","FA","42","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*02j1k*","Sean Collins","(N/A)","F","F","2169","FA","37","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*04l3u*","Stephen Collins","(N/A)","F","F","2170","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*003z0*","Jeremy Colliton","(N/A)","F","F","2171","FA","40","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*038n2*","Jack Combs","(N/A)","F","F","2172","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*003z1*","Blake Comeau","DAL","F","F","2173","FA","40","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*045z9*","Domenic Commisso","(N/A)","F","F","2174","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*01g5z*","Adam Comrie","(N/A)","D","D","2175","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05978*","Sean Comrie","(N/A)","D","D","2176","FA","26","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*03yt9*","Maxime Comtois","(N/A)","F","F","2177","FA","27","1,000,000","FA","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*02444*","Cory Conacher","(N/A)","F","F","2178","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*03xu4*","Shane Conacher","(N/A)","F","F","2179","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*01c42*","Andrew Conboy","(N/A)","F","F","2180","FA","37","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*003j1*","Tim Conboy","(N/A)","D","D","2181","FA","44","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*02iqy*","Nathan Condon","COL","F","F","2183","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*060vi*","Lucas Condotta","MTL","F","F","2184","FA","28","1,000,000","FA","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*01ez0*","Erik Condra","COL","F","F","2185","FA","39","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06be3*","Ryan Conmy","LAK","F","F","2186","FA","21","1,000,000","FA","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*01mzn*","Kevin Connauton","UTA","D","D","2187","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*01dxk*","Brian Connelly","(N/A)","D","D","2188","FA","39","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06h8h*","Trevor Connelly","VGK","F","F","2189","sweinste","20","0","MNR","0","24%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*003nl*","Chris Conner","(N/A)","F","F","2190","FA","42","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*01wlq*","Brett Connolly","(N/A)","F","F","2191","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*024d4*","Jack Connolly","(N/A)","F","F","2192","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*024d3*","Mike Connolly","(N/A)","F","F","2193","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06kr1*","Joe Connor","TBL","F","F","2194","FA","21","1,000,000","FA","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*04lgo*","Colt Conrad","TOR","F","F","2195","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06tz4*","Owen Conrad","TOR","D","D","2196","FA","19","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*04zp4*","Billy Constantinou","(N/A)","D","D","2197","FA","25","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*04805*","Scott Conway","(N/A)","F","F","2198","FA","30","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*03km1*","Holden Cook","(N/A)","F","F","2200","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*02o7p*","Brian Cooper","(N/A)","D","D","2202","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06pu9*","Miles Cooper","COL","F","F","2203","FA","19","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*03kir*","Oliver Cooper","COL","F","F","2204","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06ahz*","Ben Copeland","(N/A)","F","F","2206","FA","26","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06cf6*","Matt Copponi","EDM","F","F","2207","FA","22","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*038t8*","Cody Corbett","(N/A)","D","D","2209","FA","32","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*04r0c*","Connor Corcoran","(N/A)","D","D","2210","FA","25","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*004ko*","Kevin Cormier","NJD","F","F","2213","FA","40","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*059dx*","Lukas Cormier","VGK","D","D","2214","TommyG10","24","0","MNR","0","11%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*01d68*","Patrice Cormier","(N/A)","F","F","2215","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06icq*","Tommy Cormier","(N/A)","F","F","2216","FA","22","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05x9u*","Xavier Cormier","TBL","F","F","2217","FA","24","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*03db1*","Eric Cornel","BUF","F","F","2218","FA","29","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*04xcm*","Mike Cornell","NYI","D","D","2219","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*01mjb*","Philippe Cornet","(N/A)","F","F","2220","FA","36","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*06yba*","Gavin Cornforth","(N/A)","F","F","2221","FA","19","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*02fmm*","Frank Corrado","(N/A)","D","D","2222","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*003xl*","Matthew Corrente","(N/A)","D","D","2223","FA","38","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*048zo*","William Corrin","(N/A)","D","D","2224","FA","34","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*04p2q*","Enzo Corvi","(N/A)","F","F","2225","FA","33","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*065jn*","Trevor Cosgrove","NYI","D","D","2226","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*04l92*","Cole Coskey","(N/A)","F","F","2227","FA","26","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05o2s*","Matteo Costantini","BUF","F","F","2230","FA","23","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*02ydz*","Jeff Costello","TBL","F","F","2232","FA","35","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*051wg*","Arvid Costmar","VAN","F","F","2233","FA","24","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*03vlr*","Wyatt Cota","(N/A)","D","D","2234","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*030vk*","Brett Cote","(N/A)","D","D","2235","FA","31","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*065h4*","Charles Cote","(N/A)","D","D","2236","FA","21","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*003v6*","Jean-Philippe Cote","(N/A)","D","D","2237","FA","43","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*062lh*","Justin Cote","(N/A)","F","F","2238","FA","21","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*05gse*","Alex Cotton","DET","D","D","2239","FA","24","1,000,000","FA","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
"*03rj1*","David Cotton","SEA","F","F","2240","FA","28","1,000,000","FA","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0"
