"ID","Player","Team","Position","Prim Pos","Rookie","RkOv","Status","Age","Salary","Contract","Score","Ros","+/-","GP","Pt-D","G","A","2G+A","PIM","SOG","STP","Hit","Blk","Tk","Cor"
"*03yg3*","Mikhail Sergachev","UTA","D","D","","45","nbracken","28","8,000,000","BID","85.13","99%","0%","76","56","10","46","66","41","148","26","43","125","0","0"
"*03rf5*","Rasmus Andersson","VGK","D","D","","46","btsay45","29","3,200,000","BID","85.04","94%","0%","83","46","16","30","62","69","178","13","38","165","0","0"
"*03jxy*","Auston Matthews","TOR","F","F","","48","btsay45","29","12,900,000","BID","84.52","99%","0%","76","0","39","37","115","22","295","18","57","99","0","0"
"*04mtp*","Dylan Cozens","OTT","F","F","","49","M.M","25","4,000,000","BID","84.5","93%","0%","84","0","26","32","84","59","207","25","208","29","0","0"
"*03rmx*","Sebastian Aho","CAR","F","F","","50","BHHC","29","4,700,000","BID","84.01","100%","0%","81","0","29","53","111","47","204","33","62","25","0","0"
"*05wwg*","Lane Hutson","MTL","D","D","","51","TommyG10","22","10,600,000","BID","83.97","100%","0%","76","70","10","60","80","32","110","20","30","124","0","0"
"*06hj9*","Porter Martone","PHI","F","F","R","52","SPG","19","0","MNR","83.66","99%","0%","74","0","29","43","101","38","249","24","152","16","0","0"
"*03d09*","Alex Tuch","WSH","F","F","","53","SPG","30","2,900,000","BID","83.61","94%","0%","81","0","33","35","101","56","199","14","82","95","0","0"
"*04an5*","Miro Heiskanen","DAL","D","D","","54","TommyG10","27","7,800,000","BID","83.5","100%","0%","75","59","9","50","68","30","146","27","26","125","0","0"
"*02ybn*","Josh Morrissey","WPG","D","D","","55","PuckLuck","31","5,100,000","BID","83.43","100%","0%","80","59","14","45","73","31","160","18","44","119","0","0"
"*04f2d*","Drake Batherson","OTT","F","F","","56","nbracken","28","4,000,000","BID","83.43","99%","0%","81","0","33","40","106","35","178","31","127","26","0","0"
"*015pv*","John Carlson","TBL","D","D","","57","mertin","36","5,310,000","BID","83.02","99%","0%","75","60","13","47","73","32","162","16","35","122","0","0"
"*016g3*","Erik Karlsson","PIT","D","D","","58","ROO","36","5,100,000","BID","82.95","95%","0%","78","64","14","50","78","25","186","25","24","74","0","0"
"*03924*","Jack Eichel","VGK","F","F","","59","M.M","29","10,850,000","BID","82.8","99%","0%","76","0","28","62","118","18","264","32","33","45","0","0"
"*04ld3*","Noah Dobson","MTL","D","D","","60","TommyG10","26","5,800,000","BID","82.66","97%","0%","81","49","12","37","61","35","169","11","66","182","0","0"
"*04mv2*","Cole Caufield","MTL","F","F","","61","CGN","25","9,000,000","BID","82.52","100%","0%","83","0","48","38","134","15","267","27","55","24","0","0"
"*042yb*","Brandon Hagel","TBL","F","F","","62","BULLIES","28","8,100,000","BID","82.49","100%","0%","75","0","36","43","115","62","218","14","48","44","0","0"
"*03v70*","Alex DeBrincat","DET","F","F","","63","nbracken","28","5,500,000","BID","82.45","100%","0%","84","0","41","43","125","22","283","23","42","40","0","0"
"*039cg*","Sam Bennett","FLA","F","F","","64","nbracken","30","6,600,000","BID","81.96","85%","0%","77","0","27","31","85","88","209","15","128","36","0","0"
"*03mn8*","Clayton Keller","UTA","F","F","","65","SPG","28","5,800,000","BID","81.84","100%","0%","84","0","29","61","119","37","230","30","10","33","0","0"
"*00454*","Sidney Crosby","PIT","F","F","","66","M.M","39","6,000,000","BID","81.8","100%","0%","73","0","32","49","113","43","186","24","67","34","0","0"
"*038vb*","Travis Konecny","PHI","F","F","","67","btsay45","29","9,600,000","BID","81.71","95%","0%","80","0","28","44","100","60","182","17","107","39","0","0"
"*059e0*","Jake Sanderson","OTT","D","D","","68","nbracken","24","10,000,000","BID","81.59","100%","0%","72","55","14","41","69","10","159","24","34","137","0","0"
"*042vx*","Filip Hronek","VAN","D","D","","69","Wags8210","28","2,700,000","BID","81.54","93%","+1%","81","48","8","40","56","36","133","20","126","97","0","0"
"*02b76*","Vincent Trocheck","UTA","F","F","","70","BHHC","33","6,800,000","BID","81.42","89%","0%","72","0","19","39","77","62","141","20","200","59","0","0"
"*03duf*","Dylan Larkin","DET","F","F","","71","Wags8210","30","6,400,000","BID","81.28","98%","0%","77","0","35","36","106","47","233","26","47","34","0","0"
"*03kra*","Kyle Connor","WPG","F","F","","72","mertin","29","9,300,000","BID","81.22","99%","0%","83","0","39","52","130","17","275","24","32","24","0","0"
"*02yjj*","William Nylander","TOR","F","F","","74","ROO","30","9,100,000","BID","80.91","99%","0%","78","0","38","55","131","20","211","27","16","31","0","0"
"*051m4*","Jackson LaCombe","ANA","D","D","","75","M.M","25","4,100,000","BID","80.7","99%","0%","82","53","10","43","63","20","148","16","73","131","0","0"
