"ID","Player","Team","Position","Prim Pos","Rookie","RkOv","Status","Age","Salary","Contract","Score","Ros","+/-","GP","Pt-D","G","A","2G+A","PIM","SOG","STP","Hit","Blk","Tk","Cor"
"*042yb*","Brandon Hagel","TBL","F","F","","51","BULLIES","28","8,100,000","BID","78.87","100%","0%","71","0","36","38","110","58","214","13","42","38","35","352"
"*02unz*","Nick Schmaltz","UTA","F","F","","52","PuckLuck","30","5,400,000","BID","78.76","95%","0%","82","0","33","41","107","28","206","22","23","52","45","266"
"*02azb*","Mark Scheifele","WPG","F","F","","54","SPG","33","6,100,000","BID","78.42","100%","0%","82","0","36","67","139","43","175","23","32","47","31","27"
"*03d09*","Alex Tuch","WSH","F","F","","56","SPG","30","2,900,000","BID","78.25","94%","0%","79","0","33","33","99","57","195","14","82","90","39","15"
"*03924*","Jack Eichel","VGK","F","F","","58","M.M","29","10,850,000","BID","78.09","99%","0%","74","0","27","63","117","18","260","31","35","40","28","175"
"*04mv2*","Cole Caufield","MTL","F","F","","60","CGN","25","9,000,000","BID","77.71","100%","0%","81","0","51","37","139","14","258","29","50","21","22","208"
"*031v6*","MacKenzie Weegar","UTA","D","D","","61","Wags8210","32","9,000,000","BID","77.63","92%","0%","79","28","4","24","32","88","154","7","167","175","32","108"
"*04kyn*","Sean Walker","CAR","D","D","","62","BHHC","31","2,700,000","BID","77.47","63%","0%","81","31","9","22","40","59","179","3","141","125","33","642"
"*05r1c*","Juraj Slafkovsky","MTL","F","F","","63","mcianfra","22","4,200,000","BID","77.09","100%","0%","82","0","30","43","103","52","180","28","105","78","16","11"
"*04f2d*","Drake Batherson","OTT","F","F","","64","nbracken","28","4,000,000","BID","76.99","99%","0%","79","0","33","38","104","33","167","30","122","22","22","239"
"*03mn8*","Clayton Keller","UTA","F","F","","65","SPG","28","5,800,000","BID","76.92","100%","0%","82","0","26","62","114","38","225","27","8","32","26","337"
"*03rf5*","Rasmus Andersson","VGK","D","D","","66","btsay45","29","3,200,000","BID","76.89","94%","0%","81","47","17","30","64","71","178","14","37","150","27","-13"
